rating,rating_action_date,obligor_name,rating_outlook
BBB+,2017-12-14,"21st Century Fox America, Inc.",Not Available
BBB+,2018-09-25,"21st Century Fox America, Inc.",Not Available
A,2019-03-12,"21st Century Fox America, Inc.",Stable
A,2019-05-13,"21st Century Fox America, Inc.",Stable
A,2020-02-13,"21st Century Fox America, Inc.",Stable
A,2020-03-12,"21st Century Fox America, Inc.",Negative
A,2020-04-16,"21st Century Fox America, Inc.",Not Available
A-,2020-04-23,"21st Century Fox America, Inc.",Not Available
BBB+,2020-11-18,"21st Century Fox America, Inc.",Negative
BBB+,2021-03-25,"21st Century Fox America, Inc.",Stable
B,2011-02-16,"21st Century Oncology, Inc.",Stable
B,2011-08-26,"21st Century Oncology, Inc.",Negative
B,2012-04-24,"21st Century Oncology, Inc.",Stable
B,2012-08-15,"21st Century Oncology, Inc.",Stable
B,2013-04-25,"21st Century Oncology, Inc.",Negative
B-,2013-08-30,"21st Century Oncology, Inc.",Stable
B-,2014-05-08,"21st Century Oncology, Inc.",Positive
B,2018-08-10,24-7 Intouch Inc,Stable
B,2020-02-04,24-7 Intouch Inc,Stable
BBB,2014-08-01,2i Rete Gas SpA,Stable
BBB,2014-12-09,2i Rete Gas SpA,Stable
BBB,2015-07-21,2i Rete Gas SpA,Stable
BBB,2016-07-15,2i Rete Gas SpA,Stable
BBB,2017-07-19,2i Rete Gas SpA,Stable
BBB,2017-10-16,2i Rete Gas SpA,Stable
BBB,2018-07-13,2i Rete Gas SpA,Stable
BBB,2020-07-15,2i Rete Gas SpA,Stable
BB,2016-05-17,361 Degrees International Ltd.,Stable
BB,2017-05-19,361 Degrees International Ltd.,Stable
BB,2018-05-16,361 Degrees International Ltd.,Stable
BB,2019-01-31,361 Degrees International Ltd.,Negative
BB-,2019-03-19,361 Degrees International Ltd.,Negative
B+,2020-03-31,361 Degrees International Ltd.,Negative
B-,2020-08-31,361 Degrees International Ltd.,Negative
B-,2021-01-08,361 Degrees International Ltd.,Negative
B-,2021-06-04,361 Degrees International Ltd.,Stable
AA-,2011-03-24,3M Co.,Stable
AA-,2012-03-29,3M Co.,Stable
AA-,2013-03-29,3M Co.,Stable
AA-,2013-11-26,3M Co.,Not Available
AA-,2013-12-17,3M Co.,Stable
AA-,2014-11-20,3M Co.,Stable
AA-,2015-11-19,3M Co.,Stable
AA-,2016-11-11,3M Co.,Stable
AA-,2017-11-28,3M Co.,Stable
AA-,2018-11-20,3M Co.,Stable
AA-,2019-05-02,3M Co.,Negative
AA-,2020-01-31,3M Co.,Not Available
A+,2020-02-24,3M Co.,Negative
A,2011-06-13,407 International Inc.,Stable
A,2012-08-31,407 International Inc.,Stable
NR,2013-11-29,407 International Inc.,NR
CCC+,2020-03-19,4L Holdings Corporation,Stable
B+,2014-04-03,4L Technologies Inc.,Stable
B+,2014-06-24,4L Technologies Inc.,Stable
B+,2014-12-12,4L Technologies Inc.,Negative
B+,2015-04-29,4L Technologies Inc.,Negative
B+,2016-04-15,4L Technologies Inc.,Negative
B,2016-10-26,4L Technologies Inc.,Stable
B,2017-04-10,4L Technologies Inc.,Stable
B-,2017-10-06,4L Technologies Inc.,Stable
B-,2018-02-12,4L Technologies Inc.,Stable
B,2019-03-21,4L Technologies Inc.,Stable
CCC,2019-07-16,4L Technologies Inc.,Not Available
D,2019-12-12,4L Technologies Inc.,Not Available
NR,2020-02-13,4L Technologies Inc.,NR
CCC+,2021-04-08,4L Topco Corporation,Stable
B+,2011-04-18,6922767 Holding S.a.r.l.,Negative
B+,2011-10-04,6922767 Holding S.a.r.l.,Negative
B+,2012-09-25,6922767 Holding S.a.r.l.,Stable
B+,2013-08-23,6922767 Holding S.a.r.l.,Stable
B+,2014-11-19,6922767 Holding S.a.r.l.,Stable
NR,2014-12-08,6922767 Holding S.a.r.l.,NR
AA-,2011-04-27,"7-Eleven, Inc.",Stable
AA-,2012-01-24,"7-Eleven, Inc.",Stable
AA-,2013-01-31,"7-Eleven, Inc.",Stable
AA-,2014-01-23,"7-Eleven, Inc.",Stable
AA-,2015-01-26,"7-Eleven, Inc.",Stable
AA-,2015-09-17,"7-Eleven, Inc.",Stable
AA-,2016-01-19,"7-Eleven, Inc.",Stable
AA-,2017-01-19,"7-Eleven, Inc.",Stable
AA-,2017-04-10,"7-Eleven, Inc.",Not Available
AA-,2018-01-25,"7-Eleven, Inc.",Negative
AA-,2018-01-31,"7-Eleven, Inc.",Negative
AA-,2019-01-17,"7-Eleven, Inc.",Stable
AA-,2020-04-16,"7-Eleven, Inc.",Stable
AA-,2020-08-03,"7-Eleven, Inc.",Not Available
A,2021-05-20,"7-Eleven, Inc.",Negative
B,2012-11-28,77 Golden Gaming LLC,Stable
NR,2013-02-13,77 Golden Gaming LLC,NR
B+,2016-09-21,84 Lumber Company,Positive
B+,2017-04-27,84 Lumber Company,Stable
B+,2018-04-27,84 Lumber Company,Stable
B+,2019-02-13,84 Lumber Company,Stable
B+,2020-05-20,84 Lumber Company,Stable
BB-,2021-02-17,84 Lumber Company,Stable
B,2018-09-06,"8th Avenue Food & Provisions, Inc.",Stable
B-,2019-11-26,"8th Avenue Food & Provisions, Inc.",Stable
B,2012-02-17,99 cents only stores LLC,Stable
B,2013-01-29,99 cents only stores LLC,Stable
B,2013-10-01,99 cents only stores LLC,Negative
B-,2014-11-24,99 cents only stores LLC,Stable
B-,2015-11-19,99 cents only stores LLC,Negative
CCC+,2016-05-24,99 cents only stores LLC,Negative
CCC+,2016-11-17,99 cents only stores LLC,Negative
CC,2017-09-29,99 cents only stores LLC,Negative
D,2017-11-08,99 cents only stores LLC,NM
CCC+,2017-12-19,99 cents only stores LLC,Negative
CC,2019-06-06,99 cents only stores LLC,Negative
D,2019-07-23,99 cents only stores LLC,NM
CCC+,2019-08-01,99 cents only stores LLC,Developing
CCC+,2020-08-11,99 cents only stores LLC,Negative
CCC+,2020-12-15,99 cents only stores LLC,Stable
B,2020-02-18,"A&V Holdings Holdco, LLC",Stable
B,2021-03-17,"A&V Holdings Holdco, LLC",Negative
B,2016-11-11,A-L Parent LLC,Stable
NR,2017-08-09,A-L Parent LLC,NR
BB-,2015-04-28,"A. Schulman, Inc.",Stable
BB-,2016-04-15,"A. Schulman, Inc.",Stable
B+,2017-02-24,"A. Schulman, Inc.",Negative
B+,2017-04-07,"A. Schulman, Inc.",Negative
B+,2018-02-16,"A. Schulman, Inc.",Not Available
B+,2018-04-20,"A. Schulman, Inc.",Not Available
BBB+,2018-08-24,"A. Schulman, Inc.",Stable
NR,2018-10-23,"A. Schulman, Inc.",NR
B+,2012-01-05,A.M. Castle & Co.,Stable
B+,2013-01-24,A.M. Castle & Co.,Stable
B,2013-06-26,A.M. Castle & Co.,Stable
B-,2013-10-31,A.M. Castle & Co.,Stable
B-,2014-01-31,A.M. Castle & Co.,Stable
B-,2014-08-18,A.M. Castle & Co.,Negative
CCC+,2015-02-09,A.M. Castle & Co.,Negative
CC,2016-01-22,A.M. Castle & Co.,Negative
D,2016-02-09,A.M. Castle & Co.,NM
CCC+,2016-02-19,A.M. Castle & Co.,Negative
BBB+,2013-09-25,A.P. Moller - Maersk A/S,Stable
BBB+,2014-05-14,A.P. Moller - Maersk A/S,Stable
BBB+,2015-01-29,A.P. Moller - Maersk A/S,Stable
BBB+,2015-05-29,A.P. Moller - Maersk A/S,Stable
BBB+,2015-11-13,A.P. Moller - Maersk A/S,Stable
BBB+,2015-12-04,A.P. Moller - Maersk A/S,Stable
BBB+,2016-02-19,A.P. Moller - Maersk A/S,Negative
BBB+,2016-07-05,A.P. Moller - Maersk A/S,Not Available
BBB,2016-11-14,A.P. Moller - Maersk A/S,Negative
BBB,2017-08-23,A.P. Moller - Maersk A/S,Not Available
BBB,2017-11-27,A.P. Moller - Maersk A/S,Not Available
BBB,2018-11-27,A.P. Moller - Maersk A/S,Not Available
BBB,2019-05-28,A.P. Moller - Maersk A/S,Stable
BBB,2020-04-27,A.P. Moller - Maersk A/S,Negative
BBB,2020-10-30,A.P. Moller - Maersk A/S,Positive
B-,2010-12-20,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Stable
B-,2011-10-26,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Stable
B-,2012-02-21,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Negative
B-,2012-11-30,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Negative
CCC+,2013-02-19,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Negative
CCC-,2013-05-23,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Not Available
CCC-,2013-08-19,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Not Available
D,2013-12-05,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,Not Available
NR,2014-02-07,A.T.U Auto-Teile Unger Handels GmbH & Co. KG,NR
B-,2010-10-21,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Stable
B-,2011-10-26,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Stable
B-,2012-02-21,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Negative
B-,2012-11-30,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Negative
CCC+,2013-02-19,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Negative
CCC-,2013-05-23,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Not Available
CCC-,2013-08-19,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Not Available
D,2013-12-05,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,Not Available
NR,2014-02-07,A.T.U Auto-Teile-Unger Investment GmbH & Co. KG,NR
B-,2010-10-21,A.T.U. Auto-Teile-Unger Holding GmbH,Stable
B-,2011-10-26,A.T.U. Auto-Teile-Unger Holding GmbH,Stable
B-,2012-02-21,A.T.U. Auto-Teile-Unger Holding GmbH,Negative
B-,2012-11-30,A.T.U. Auto-Teile-Unger Holding GmbH,Negative
CCC+,2013-02-19,A.T.U. Auto-Teile-Unger Holding GmbH,Negative
CCC-,2013-05-23,A.T.U. Auto-Teile-Unger Holding GmbH,Not Available
CCC-,2013-08-19,A.T.U. Auto-Teile-Unger Holding GmbH,Not Available
D,2013-12-05,A.T.U. Auto-Teile-Unger Holding GmbH,Not Available
NR,2014-02-07,A.T.U. Auto-Teile-Unger Holding GmbH,NR
BBB+,2010-07-14,A2A SpA,Negative
BBB+,2011-09-20,A2A SpA,Negative
BBB,2012-04-05,A2A SpA,Negative
BBB,2013-05-01,A2A SpA,Negative
BBB,2014-06-10,A2A SpA,Negative
BBB,2014-12-09,A2A SpA,Negative
BBB,2015-07-17,A2A SpA,Stable
BBB,2016-02-26,A2A SpA,Stable
BBB,2016-07-28,A2A SpA,Stable
BBB,2017-05-23,A2A SpA,Stable
BBB,2018-05-28,A2A SpA,Stable
BBB,2019-05-28,A2A SpA,Stable
BBB,2020-05-15,A2A SpA,Stable
BBB,2021-02-08,A2A SpA,Stable
B,2017-04-04,"A2Z Wireless Holdings, Inc.",Stable
B,2018-04-25,"A2Z Wireless Holdings, Inc.",Stable
B,2020-03-17,"A2Z Wireless Holdings, Inc.",Not Available
B,2020-06-18,"A2Z Wireless Holdings, Inc.",Negative
B,2021-02-01,"A2Z Wireless Holdings, Inc.",Stable
B,2011-01-20,AAC Group Holding Corp.,Stable
B,2011-08-30,AAC Group Holding Corp.,Negative
B,2011-10-28,AAC Group Holding Corp.,Negative
B-,2012-08-31,AAC Group Holding Corp.,Stable
B-,2012-10-26,AAC Group Holding Corp.,Stable
B-,2013-08-23,AAC Group Holding Corp.,Stable
B-,2013-11-21,AAC Group Holding Corp.,Not Available
B-,2014-07-24,AAC Group Holding Corp.,Stable
B-,2014-10-15,AAC Group Holding Corp.,Stable
CCC+,2015-05-08,AAC Group Holding Corp.,Developing
NR,2015-10-13,AAC Group Holding Corp.,NR
B-,2017-06-06,"AAC Holdings, Inc.",Positive
B-,2018-06-13,"AAC Holdings, Inc.",Positive
B-,2018-11-09,"AAC Holdings, Inc.",Negative
CCC,2019-03-15,"AAC Holdings, Inc.",Negative
D,2019-11-25,"AAC Holdings, Inc.",NM
NR,2021-01-19,"AAC Holdings, Inc.",NR
B-,2019-06-17,AAG FH LP,Stable
B-,2020-04-16,AAG FH LP,Not Available
B-,2020-10-16,AAG FH LP,Negative
BB,2011-02-24,AAR Corp.,Stable
BB,2011-10-25,AAR Corp.,Stable
BB,2012-02-28,AAR Corp.,Stable
BB,2013-03-01,AAR Corp.,Stable
BB,2014-02-12,AAR Corp.,Stable
BB,2015-02-12,AAR Corp.,Stable
BB,2015-02-24,AAR Corp.,Not Available
BB+,2015-04-03,AAR Corp.,Stable
BB+,2016-02-16,AAR Corp.,Stable
BB+,2017-02-15,AAR Corp.,Stable
BB+,2018-02-16,AAR Corp.,Stable
BB+,2020-04-09,AAR Corp.,Stable
BB,2020-05-28,AAR Corp.,Negative
BB,2021-02-16,AAR Corp.,Stable
BBB+,2010-11-09,AB Electrolux,Stable
BBB+,2011-11-09,AB Electrolux,Stable
BBB+,2012-11-01,AB Electrolux,Stable
BBB+,2013-10-22,AB Electrolux,Negative
BBB+,2014-08-18,AB Electrolux,Not Available
BBB,2014-11-06,AB Electrolux,Stable
BBB,2015-11-26,AB Electrolux,Stable
BBB+,2015-12-17,AB Electrolux,Stable
A-,2016-12-19,AB Electrolux,Stable
A-,2017-12-11,AB Electrolux,Stable
A-,2018-12-21,AB Electrolux,Stable
BBB+,2017-10-18,AB Ignitis Group,Stable
BBB+,2018-05-16,AB Ignitis Group,Stable
BBB+,2019-05-31,AB Ignitis Group,Negative
BBB+,2020-05-11,AB Ignitis Group,Negative
BBB+,2020-11-12,AB Ignitis Group,Stable
BBB,2011-04-15,AB Volvo,Stable
BBB,2011-12-14,AB Volvo,Stable
BBB,2012-11-22,AB Volvo,Stable
BBB,2013-09-20,AB Volvo,Negative
BBB,2014-09-30,AB Volvo,Negative
BBB,2014-11-27,AB Volvo,Negative
BBB,2015-09-29,AB Volvo,Stable
BBB,2015-12-18,AB Volvo,Stable
BBB,2016-03-01,AB Volvo,Stable
BBB,2016-09-26,AB Volvo,Positive
BBB+,2017-06-30,AB Volvo,Stable
BBB+,2018-06-27,AB Volvo,Positive
A-,2019-04-16,AB Volvo,Stable
A-,2020-05-14,AB Volvo,Stable
A-,2021-06-03,AB Volvo,Stable
A,2010-06-08,ABB Asea Brown Boveri Ltd.,Stable
A,2011-09-02,ABB Asea Brown Boveri Ltd.,Stable
A,2012-02-01,ABB Asea Brown Boveri Ltd.,Stable
A,2012-09-24,ABB Asea Brown Boveri Ltd.,Stable
A,2013-09-30,ABB Asea Brown Boveri Ltd.,Stable
A,2014-12-24,ABB Asea Brown Boveri Ltd.,Stable
A,2015-12-04,ABB Asea Brown Boveri Ltd.,Stable
A,2016-11-03,ABB Asea Brown Boveri Ltd.,Stable
A,2017-11-28,ABB Asea Brown Boveri Ltd.,Stable
A,2018-11-22,ABB Asea Brown Boveri Ltd.,Stable
A,2018-12-17,ABB Asea Brown Boveri Ltd.,Stable
A,2019-11-01,ABB Asea Brown Boveri Ltd.,Negative
A-,2020-11-12,ABB Asea Brown Boveri Ltd.,Stable
A,2010-06-08,ABB Capital B.V.,Stable
A,2011-09-02,ABB Capital B.V.,Stable
A,2012-02-01,ABB Capital B.V.,Stable
A,2012-09-24,ABB Capital B.V.,Stable
A,2013-09-30,ABB Capital B.V.,Stable
A,2014-12-24,ABB Capital B.V.,Stable
A,2015-12-04,ABB Capital B.V.,Stable
A,2016-11-03,ABB Capital B.V.,Stable
A,2017-11-28,ABB Capital B.V.,Stable
A,2018-11-22,ABB Capital B.V.,Stable
A,2018-12-17,ABB Capital B.V.,Stable
A,2019-11-01,ABB Capital B.V.,Negative
A-,2020-11-12,ABB Capital B.V.,Stable
A,2010-06-08,ABB Finance (USA) Inc.,Stable
A,2011-09-02,ABB Finance (USA) Inc.,Stable
A,2012-02-01,ABB Finance (USA) Inc.,Stable
A,2012-09-24,ABB Finance (USA) Inc.,Stable
A,2013-09-30,ABB Finance (USA) Inc.,Stable
A,2014-12-24,ABB Finance (USA) Inc.,Stable
A,2015-12-04,ABB Finance (USA) Inc.,Stable
A,2016-11-03,ABB Finance (USA) Inc.,Stable
A,2017-11-28,ABB Finance (USA) Inc.,Stable
A,2018-11-22,ABB Finance (USA) Inc.,Stable
A,2018-12-17,ABB Finance (USA) Inc.,Stable
A,2019-11-01,ABB Finance (USA) Inc.,Negative
A-,2020-11-12,ABB Finance (USA) Inc.,Stable
A,2011-12-09,ABB Finance B.V.,Stable
A,2012-02-01,ABB Finance B.V.,Stable
A,2012-09-24,ABB Finance B.V.,Stable
A,2013-09-30,ABB Finance B.V.,Stable
A,2014-12-24,ABB Finance B.V.,Stable
A,2015-12-04,ABB Finance B.V.,Stable
A,2016-11-03,ABB Finance B.V.,Stable
A,2017-11-28,ABB Finance B.V.,Stable
A,2018-11-22,ABB Finance B.V.,Stable
A,2018-12-17,ABB Finance B.V.,Stable
A,2019-11-01,ABB Finance B.V.,Negative
A-,2020-11-12,ABB Finance B.V.,Stable
A,2010-06-08,ABB Holdings Inc.,Stable
A,2011-09-02,ABB Holdings Inc.,Stable
A,2012-02-01,ABB Holdings Inc.,Stable
A,2012-09-24,ABB Holdings Inc.,Stable
A,2013-09-30,ABB Holdings Inc.,Stable
A,2014-12-24,ABB Holdings Inc.,Stable
A,2015-12-04,ABB Holdings Inc.,Stable
A,2016-11-03,ABB Holdings Inc.,Stable
A,2017-11-28,ABB Holdings Inc.,Stable
A,2018-11-22,ABB Holdings Inc.,Stable
A,2018-12-17,ABB Holdings Inc.,Stable
A,2019-11-01,ABB Holdings Inc.,Negative
A-,2020-11-12,ABB Holdings Inc.,Stable
A,2010-06-08,ABB International Finance Ltd.,Stable
A,2011-09-02,ABB International Finance Ltd.,Stable
A,2012-02-01,ABB International Finance Ltd.,Stable
A,2012-09-24,ABB International Finance Ltd.,Stable
NR,2013-08-02,ABB International Finance Ltd.,NR
A,2010-06-08,ABB Ltd.,Stable
A,2011-09-02,ABB Ltd.,Stable
A,2012-02-01,ABB Ltd.,Stable
A,2012-09-24,ABB Ltd.,Stable
A,2013-09-30,ABB Ltd.,Stable
A,2014-12-24,ABB Ltd.,Stable
A,2015-12-04,ABB Ltd.,Stable
A,2016-11-03,ABB Ltd.,Stable
A,2017-11-28,ABB Ltd.,Stable
A,2018-11-22,ABB Ltd.,Stable
A,2018-12-17,ABB Ltd.,Stable
A,2019-11-01,ABB Ltd.,Negative
A-,2020-11-12,ABB Ltd.,Stable
A,2011-06-16,ABB Treasury Center (USA) Inc.,Stable
NR,2011-06-18,ABB Treasury Center (USA) Inc.,NR
A,2011-07-08,ABB Treasury Center (USA) Inc.,Stable
A,2012-02-01,ABB Treasury Center (USA) Inc.,Stable
A,2012-09-24,ABB Treasury Center (USA) Inc.,Stable
A,2013-09-30,ABB Treasury Center (USA) Inc.,Stable
A,2014-12-24,ABB Treasury Center (USA) Inc.,Stable
A,2015-12-04,ABB Treasury Center (USA) Inc.,Stable
A,2016-11-03,ABB Treasury Center (USA) Inc.,Stable
A,2017-11-28,ABB Treasury Center (USA) Inc.,Stable
A,2018-11-22,ABB Treasury Center (USA) Inc.,Stable
A,2018-12-17,ABB Treasury Center (USA) Inc.,Stable
A,2019-11-01,ABB Treasury Center (USA) Inc.,Negative
A-,2020-11-12,ABB Treasury Center (USA) Inc.,Stable
B,2012-10-24,ABB/Con-Cise Optical Group LLC,Stable
B,2013-01-18,ABB/Con-Cise Optical Group LLC,Stable
B,2013-07-15,ABB/Con-Cise Optical Group LLC,Stable
B,2014-08-15,ABB/Con-Cise Optical Group LLC,Stable
B,2015-08-18,ABB/Con-Cise Optical Group LLC,Stable
B,2015-09-10,ABB/Con-Cise Optical Group LLC,Negative
B,2015-10-09,ABB/Con-Cise Optical Group LLC,Negative
B,2016-06-02,ABB/Con-Cise Optical Group LLC,Negative
B,2016-08-23,ABB/Con-Cise Optical Group LLC,Negative
B-,2017-06-16,ABB/Con-Cise Optical Group LLC,Stable
B-,2017-08-24,ABB/Con-Cise Optical Group LLC,Stable
B-,2018-08-27,ABB/Con-Cise Optical Group LLC,Stable
CCC+,2019-06-26,ABB/Con-Cise Optical Group LLC,Stable
CCC+,2020-08-25,ABB/Con-Cise Optical Group LLC,Negative
CCC+,2021-05-24,ABB/Con-Cise Optical Group LLC,Negative
B-,2017-11-29,"ABC Financial Intermediate, LLC",Stable
B-,2020-04-02,"ABC Financial Intermediate, LLC",Not Available
B-,2020-08-25,"ABC Financial Intermediate, LLC",Negative
B,2014-06-23,ABILITY Network Inc.,Stable
B,2014-10-23,ABILITY Network Inc.,Stable
B,2015-06-30,ABILITY Network Inc.,Stable
B,2016-06-28,ABILITY Network Inc.,Stable
B,2017-06-16,ABILITY Network Inc.,Stable
B-,2017-11-21,ABILITY Network Inc.,Stable
NR,2018-04-30,ABILITY Network Inc.,NR
BB-,2018-01-14,ABJA Investment Co. Pte. Ltd.,Stable
BB-,2018-07-23,ABJA Investment Co. Pte. Ltd.,Stable
BB-,2019-04-01,ABJA Investment Co. Pte. Ltd.,Positive
BB-,2019-11-15,ABJA Investment Co. Pte. Ltd.,Stable
B+,2020-04-14,ABJA Investment Co. Pte. Ltd.,Negative
B+,2020-12-08,ABJA Investment Co. Pte. Ltd.,Stable
BB-,2021-04-05,ABJA Investment Co. Pte. Ltd.,Stable
B-,2017-12-08,"AC Ocean Walk, LLC",Stable
NR,2018-03-06,"AC Ocean Walk, LLC",NR
B-,2015-06-09,"ACA Holdings, LLC",Stable
NR,2015-10-14,"ACA Holdings, LLC",NR
B+,2010-07-09,ACCO Brands Corp.,Stable
B+,2011-07-28,ACCO Brands Corp.,Stable
B+,2011-11-18,ACCO Brands Corp.,Not Available
B+,2012-02-01,ACCO Brands Corp.,Not Available
BB-,2012-05-01,ACCO Brands Corp.,Stable
BB-,2013-02-19,ACCO Brands Corp.,Stable
BB-,2014-03-21,ACCO Brands Corp.,Stable
BB-,2015-03-24,ACCO Brands Corp.,Stable
BB-,2016-03-29,ACCO Brands Corp.,Stable
BB-,2016-12-08,ACCO Brands Corp.,Stable
BB-,2017-03-15,ACCO Brands Corp.,Stable
BB-,2017-08-01,ACCO Brands Corp.,Positive
BB,2018-03-22,ACCO Brands Corp.,Stable
BB,2020-03-19,ACCO Brands Corp.,Negative
BB-,2020-05-12,ACCO Brands Corp.,Negative
BB-,2021-03-01,ACCO Brands Corp.,Negative
BB-,2013-08-12,ACI Worldwide Inc.,Positive
BB-,2013-11-26,ACI Worldwide Inc.,Not Available
BB,2013-12-18,ACI Worldwide Inc.,Stable
BB,2014-11-26,ACI Worldwide Inc.,Stable
BB,2015-11-13,ACI Worldwide Inc.,Stable
BB-,2016-11-11,ACI Worldwide Inc.,Negative
BB-,2016-11-21,ACI Worldwide Inc.,Negative
BB-,2017-03-02,ACI Worldwide Inc.,Stable
BB-,2017-10-25,ACI Worldwide Inc.,Stable
BB,2018-04-09,ACI Worldwide Inc.,Stable
BB,2018-10-25,ACI Worldwide Inc.,Stable
BB,2019-02-28,ACI Worldwide Inc.,Not Available
BB,2019-08-26,ACI Worldwide Inc.,Negative
BB,2020-03-06,ACI Worldwide Inc.,Stable
B,2019-01-30,"ACProducts, Inc.",Stable
B,2019-11-21,"ACProducts, Inc.",Not Available
B,2020-01-31,"ACProducts, Inc.",Positive
B,2020-03-20,"ACProducts, Inc.",Stable
B,2020-05-01,"ACProducts, Inc.",Negative
B,2021-01-29,"ACProducts, Inc.",Stable
B-,2021-04-27,"ACProducts, Inc.",Stable
BBB,2018-04-04,ACS Servicios Comunicaciones y Energia S.L.,Negative
BBB,2018-05-15,ACS Servicios Comunicaciones y Energia S.L.,Stable
BBB,2020-10-21,ACS Servicios Comunicaciones y Energia S.L.,Not Available
BBB-,2021-03-09,ACS Servicios Comunicaciones y Energia S.L.,Stable
BBB,2017-05-08,"ACS, Actividades de Construccion y Servicios SA",Stable
BBB,2017-10-23,"ACS, Actividades de Construccion y Servicios SA",Negative
BBB,2018-05-15,"ACS, Actividades de Construccion y Servicios SA",Stable
BBB,2019-05-16,"ACS, Actividades de Construccion y Servicios SA",Stable
BBB,2020-05-20,"ACS, Actividades de Construccion y Servicios SA",Stable
BBB,2020-10-21,"ACS, Actividades de Construccion y Servicios SA",Not Available
BBB-,2021-03-09,"ACS, Actividades de Construccion y Servicios SA",Stable
B+,2019-04-29,ADES International Holding Ltd.,Stable
B+,2020-03-31,ADES International Holding Ltd.,Negative
B+,2020-04-23,ADES International Holding Ltd.,Negative
B+,2021-04-28,ADES International Holding Ltd.,Stable
B,2015-04-16,ADMI Corp.,Stable
B,2016-04-19,ADMI Corp.,Stable
B,2017-04-10,ADMI Corp.,Stable
B,2018-04-03,ADMI Corp.,Stable
B,2018-04-26,ADMI Corp.,Stable
B,2020-03-30,ADMI Corp.,Not Available
B,2020-09-30,ADMI Corp.,Negative
B,2020-12-01,ADMI Corp.,Negative
B,2021-06-14,ADMI Corp.,Negative
B+,2011-03-14,ADS Tactical Inc.,Stable
B+,2012-03-27,ADS Tactical Inc.,Stable
B,2013-04-01,ADS Tactical Inc.,Stable
B,2014-04-18,ADS Tactical Inc.,Negative
B,2015-04-10,ADS Tactical Inc.,Negative
B,2015-06-10,ADS Tactical Inc.,Stable
B,2016-03-30,ADS Tactical Inc.,Stable
B,2017-01-17,ADS Tactical Inc.,Stable
B,2018-05-02,ADS Tactical Inc.,Stable
B+,2019-04-15,ADS Tactical Inc.,Stable
B+,2021-02-09,ADS Tactical Inc.,Stable
B+,2019-04-30,ADT Inc.,Stable
B+,2020-04-17,ADT Inc.,Stable
B,2015-04-01,ADVANZ PHARMA Corp,Stable
